song_id,title,artist,genre,mood
9e0e3668,Song Title 1,Artist103,Country,Nostalgic
eb99005e,Song Title 2,Artist436,R&B,Angry
5c809c9c,Song Title 3,Artist349,Country,Romantic
3febfd41,Song Title 4,Artist271,R&B,Chill
93c30dad,Song Title 5,Artist107,Electronic,Romantic
58d3db43,Song Title 6,Artist72,R&B,Sad
7135b87f,Song Title 7,Artist189,Classical,Romantic
fd1865d5,Song Title 8,Artist21,R&B,Happy
441406b4,Song Title 9,Artist103,Pop,Angry
d2c9dcfb,Song Title 10,Artist122,Pop,Romantic
beca203e,Song Title 11,Artist467,Metal,Happy
0af87ac5,Song Title 12,Artist215,Classical,Sad
c64a1424,Song Title 13,Artist331,Classical,Nostalgic
d15abcac,Song Title 14,Artist459,Jazz,Angry
37b07a1f,Song Title 15,Artist88,Classical,Romantic
855df92b,Song Title 16,Artist373,Jazz,Chill
81a8fe4e,Song Title 17,Artist100,Metal,Chill
c57c77df,Song Title 18,Artist360,Metal,Angry
7b45654f,Song Title 19,Artist152,Electronic,Chill
290c526b,Song Title 20,Artist131,Pop,Romantic
85868268,Song Title 21,Artist150,R&B,Romantic
a80e633f,Song Title 22,Artist309,R&B,Angry
211b6287,Song Title 23,Artist258,Folk,Romantic
d77c3994,Song Title 24,Artist344,Folk,Nostalgic
721e1342,Song Title 25,Artist492,Hip-Hop,Happy
2f2db52f,Song Title 26,Artist414,Country,Sad
86696b9a,Song Title 27,Artist294,Electronic,Nostalgic
6da32110,Song Title 28,Artist386,Hip-Hop,Nostalgic
56b847c9,Song Title 29,Artist192,Hip-Hop,Chill
ec5e633a,Song Title 30,Artist444,Rock,Happy
513d3461,Song Title 31,Artist277,Rock,Angry
628cf555,Song Title 32,Artist161,Hip-Hop,Dreamy
0c30f700,Song Title 33,Artist460,Classical,Chill
24d7c7cb,Song Title 34,Artist314,Country,Happy
a51fadcf,Song Title 35,Artist22,Electronic,Romantic
c1f9b73e,Song Title 36,Artist253,Hip-Hop,Angry
cd44dbe6,Song Title 37,Artist236,R&B,Dreamy
008189f6,Song Title 38,Artist345,Country,Angry
d57c0c56,Song Title 39,Artist49,Rock,Dreamy
8e950a8e,Song Title 40,Artist475,R&B,Dreamy
